Source;Target;Weight
Lizhu Zhou;Juanzi Li;1.313800
Lizhu Zhou;Jie Tang;0.414200
George Panagopoulos;Christos Faloutsos;1.000000
Fumei Lam;Russell Schwartz;0.300000
Fumei Lam;Srinath Sridhar;0.966600
Fumei Lam;Guy E. Blelloch;0.300000
Fumei Lam;R. Ravi;0.300000
Fumei Lam;Sorin Istrail;0.666600
Fumei Lam;Dan Gusfield;1.333200
Robert F. Murphy;Ziv Bar-Joseph;0.999900
Robert F. Murphy;Geoffrey J. Gordon;0.999800
Robert F. Murphy;Christos Faloutsos;1.000000
Naveen Garg;Shiva Chaudhuri;0.333300
Naveen Garg;Vijay V. Vazirani;3.733000
Naveen Garg;Stefano Leonardi;0.833200
Naveen Garg;Mihalis Yannakakis;1.999800
Naveen Garg;Chaitanya Swamy;0.333300
Naveen Garg;S. Anand 0002;0.666600
Naveen Garg;Huzur Saran;0.666600
Naveen Garg;Marina Papatriantafilou;0.666600
Naveen Garg;Yefim Dinitz;0.666600
Naveen Garg;Amit Kumar;4.333100
Naveen Garg;Jochen Könemann;2.366600
Naveen Garg;Goran Konjevod;0.733200
Naveen Garg;Vinayaka Pandit;1.033000
Naveen Garg;Michel X. Goemans;0.666600
Naveen Garg;Philippas Tsigas;0.666600
Naveen Garg;V. N. Muralidhara;0.499900
Naveen Garg;Santosh Vempala;0.333300
Naveen Garg;R. Ravi;1.266500
Christian Scheideler;Baruch Awerbuch;12.833200
Christian Scheideler;Robert D. Kleinberg;1.000000
Christian Scheideler;Shlomi Dolev;1.000000
Christian Scheideler;Micah Adler;2.000000
Christian Scheideler;Andréa W. Richa;3.065800
Christian Scheideler;Uriel Feige;2.000000
Christian Scheideler;Rajmohan Rajaraman;0.333300
Fernando C. N. Pereira;Lillian Lee;1.999800
Fernando C. N. Pereira;Andrew McCallum;1.499800
Fernando C. N. Pereira;Ido Dagan;1.666500
Fernando C. N. Pereira;Naftali Tishby;0.666600
Euripides G. M. Petrakis;Christos Faloutsos;1.333300
Euripides G. M. Petrakis;King-Ip Lin;0.333300
Daniel P. Lopresti;Andrew Tomkins;2.166600
Daniel P. Lopresti;Gordon T. Wilfong;4.266600
Daniel P. Lopresti;Jeffrey Scott Vitter;0.666600
Daniel P. Lopresti;Ibrahim Kamel;0.333300
Daniel P. Lopresti;Richard J. Lipton;1.000000
Mihai Pop;S. Rao Kosaraju;1.333300
Mihai Pop;Alok Aggarwal;0.333300
Alex Roper;Daniel Golovin;0.333300
Alex Roper;Andreas Krause;0.333300
Zvi Galil;Nimrod Megiddo;2.000000
Zvi Galil;Kurt Mehlhorn;2.000000
Zvi Galil;Éva Tardos;1.000000
Zvi Galil;Baruch Schieber;1.100000
Zvi Galil;Giuseppe F. Italiano;5.999400
Zvi Galil;Noga Alon;1.499800
Zvi Galil;Ravi Kannan;0.666600
Zvi Galil;Arnold L. Rosenberg;0.666600
Zvi Galil;Yuval Rabani;1.000000
Zvi Galil;Harold N. Gabow;1.499800
Zvi Galil;Silvio Micali;0.666600
Satish Ukkusuri;Elliot Anshelevich;1.000000
Michael Merritt;Eli Gafni;0.566500
Michael Merritt;Phillip B. Gibbons;1.333300
Michael Merritt;Haim Kaplan;0.300000
Michael Merritt;Marios Mavronicolas;0.666600
Michael Merritt;Alan Fekete;0.766400
Michael Merritt;David B. Shmoys;0.666600
Michael Merritt;Michael K. Reiter;0.333200
Michael Merritt;David S. Greenberg;0.333200
Michael Merritt;Richard A. DeMillo;0.666600
Michael Merritt;Gadi Taubenfeld;11.199400
Michael Merritt;Michael J. Fischer;1.999900
Michael Merritt;Steven Fortune;1.000000
Michael Merritt;Nancy A. Lynch;4.599500
Michael Merritt;Dahlia Malkhi;1.333100
Michael Merritt;William E. Weihl;0.933000
Po-Shen Loh;Eyal Lubetzky;1.000000
Po-Shen Loh;Benny Sudakov;5.766500
Po-Shen Loh;Michael Krivelevich;0.766600
Po-Shen Loh;Leonard J. Schulman;1.000000
Po-Shen Loh;Alan M. Frieze;0.433300
Wayne Fairey;Hakan Yildiz;0.333300
Wayne Fairey;R. Ravi;0.333300
Rahul Sami;Joan Feigenbaum;2.432600
Rahul Sami;Christos H. Papadimitriou;0.333200
Rahul Sami;Vahab S. Mirrokni;0.333200
Rahul Sami;Scott Shenker;1.766200
Rahul Sami;Aviv Zohar;0.333300
Rahul Sami;Evdokia Nikolova;1.166600
Rahul Sami;David R. Karger;0.499800
Rahul Sami;Michael Schapira;0.333300
Rahul Sami;Lance Fortnow;1.368900
Margaret Lepley;Gary L. Miller;0.333200
Margaret Lepley;Frank Thomson Leighton;0.333200
Margaret Lepley;Daniel J. Kleitman;0.333200
Martin Zinkevich;Jeffrey C. Jackson;0.333200
Martin Zinkevich;Tuomas Sandholm;1.333100
Martin Zinkevich;Avrim Blum;1.333100
Martin Zinkevich;John Langford;0.666600
Navodit Misra;Russell Schwartz;0.666400
Navodit Misra;Guy E. Blelloch;0.666400
Navodit Misra;R. Ravi;0.666400
David Wolfe;Mor Harchol-Balter;1.000000
David Wolfe;Christos H. Papadimitriou;2.000000
Todd A. Gibson;Debra Goldberg;3.000000
Leslie Ann Goldberg;Mike Paterson;3.865800
Leslie Ann Goldberg;Frank Thomson Leighton;0.333200
Leslie Ann Goldberg;Sampath Kannan;0.333200
Leslie Ann Goldberg;Marek Karpinski;0.666600
Leslie Ann Goldberg;Paul W. Goldberg;5.265200
Leslie Ann Goldberg;Gregory B. Sorkin;0.333200
Leslie Ann Goldberg;Aravind Srinivasan;0.499800
Leslie Ann Goldberg;Catherine S. Greenhill;0.633200
Leslie Ann Goldberg;Mark Jerrum;28.560400
Leslie Ann Goldberg;Satish Rao;0.999800
Leslie Ann Goldberg;Prasad Chebolu;1.666500
Leslie Ann Goldberg;Martin E. Dyer;7.260700
Andrea Campagna;Alan Guo;0.333300
Andrea Campagna;Ronitt Rubinfeld;0.333300
Yan Huang;Jie Tang;0.314000
Yan Huang;Ruoming Jin;0.833200
Yan Huang;Ninghan Zheng;0.314000
Yan Huang;Zhimin Gu;0.314000
Sergio Rajsbaum;Eli Gafni;4.033100
Sergio Rajsbaum;Roy Friedman;0.499800
Sergio Rajsbaum;Idit Keidar;4.000000
Sergio Rajsbaum;Maurice Herlihy;13.666400
Sergio Rajsbaum;Roberto De Prisco;1.000000
Sergio Rajsbaum;Amir Herzberg;0.666600
Sergio Rajsbaum;Yoram Moses;2.000000
Sergio Rajsbaum;Armando Castañeda;5.499800
Sergio Rajsbaum;Yefim Dinitz;1.333200
Sergio Rajsbaum;Shlomi Dolev;2.666600
Sergio Rajsbaum;Shlomo Moran;1.333200
Sergio Rajsbaum;Nancy A. Lynch;2.366600
Sergio Rajsbaum;Mark R. Tuttle;1.333200
Sergio Rajsbaum;Hagit Attiya;3.666600
Raphael Chan;Christos Faloutsos;1.000000
Jochen Könemann;Mauro Sozio;0.333200
Jochen Könemann;Lisa Fleischer;0.333200
Jochen Könemann;Naveen Garg;2.366600
Jochen Könemann;Alessandro Panconesi;0.999800
Jochen Könemann;Ojas Parekh;1.666300
Jochen Könemann;Kedar Dhamdhere;0.333200
Jochen Könemann;Danny Segev;0.666600
Jochen Könemann;Stefano Leonardi;1.766100
Jochen Könemann;Amitabh Sinha;1.866200
Jochen Könemann;Fabrizio Grandoni;0.999800
Jochen Könemann;Joseph Naor;0.333200
Jochen Könemann;Goran Konjevod;0.333200
Jochen Könemann;Asaf Levin;0.666600
Jochen Könemann;Martin Pál;0.333200
Jochen Könemann;R. Ravi;5.300000
Jochen Könemann;Nikhil Bansal;0.533200
Jochen Könemann;Guido Schäfer;1.099700
Jochen Könemann;Deeparnab Chakrabarty;1.333200
Neha Bhatia;Amit Kumar;1.333300
